LR_Pluse,RR_Pluse
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
1900,1980
